"elementId","source","line","surface","kind","label","ownerComponent","effectiveHandlerEvent","actionType","mappingStatus","mappingConfidence","handlerChain","delegatedCallbacks","usedBySurfaces","routeTargets","apiCalls","resourceOperations","contextResources","prismaModels","contextModels","permissionPolicies","allowedRoles","rowPolicy","scopedRead","loadingState","successState","errorState","confirmationState","browserActions","helperCalls","localMutations","uxStateCandidates"
"route.automation.form-control.ten-cong-viec-vd-lam-hop-ong-cho-name","app/(app)/automation/page.jsx","73","route.automation","form-control","Tên công việc — VD: Làm hợp đồng cho {name}","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.chua-gan-ai","app/(app)/automation/page.jsx","75","route.automation","form-control","— Chưa gán ai —","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.han-sau-ngay","app/(app)/automation/page.jsx","79","route.automation","form-control","Hạn sau ? ngày","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.form-control.https-url-nhan-post","app/(app)/automation/page.jsx","82","route.automation","form-control","https://… (URL nhận POST)","RuleModal","onChange","form-control","classified-local","high","set | setAct","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.them-hanh-ong","app/(app)/automation/page.jsx","85","route.automation","action","Thêm hành động","RuleModal","onClick","local-state","classified-local","high","set","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.tao-rule","app/(app)/automation/page.jsx","115","route.automation","action","Tạo rule","AutomationPage","onClick","local-state","classified-local","high","","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.khi-ieu-kien-hanh-ong-tat-bat","app/(app)/automation/page.jsx","120","route.automation","action","Khi / · / điều kiện · / hành động / Tắt / Bật","AutomationPage","onClick","local-state","classified-local","high","","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.automation.action.tat-bat","app/(app)/automation/page.jsx","126","route.automation","action","Tắt / Bật","AutomationPage","onClick","data-action","handler-resolved","high","","","","","PUT /api/data/rules/[id]","update:rules","rules | users","Approval | AuditLog | Conversation | Lead | Leave | Message | Notification | Onboarding | Project | Quote | RealmChangeEvent | RealmGoldEntry | Rule | Setting | Task | TaskEvent | Team | Transaction | User | VendorBill | Webhook","Rule | User","registry-rbac","ACCOUNTANT | AM | DIRECTOR | HR | LEAD | PM | STAFF","false","false","async-button-guard","hook-refresh","hook-error-toast","not-required","","","event.stopPropagation",""
"route.automation.action.e-e-stoppropagation-setmodal-mode-del-row-r","app/(app)/automation/page.jsx","127","route.automation","action","","AutomationPage","onClick","local-state","classified-local","high","","","","","","","rules | users","","Rule | User","","","false","false","not-required","not-required","not-required","not-required","","","event.stopPropagation",""
"route.calendar.action.tuan","app/(app)/calendar/page.jsx","113","route.calendar","action","Tuần","CalendarPage","onClick","local-state","classified-local","high","","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.calendar.action.thang","app/(app)/calendar/page.jsx","114","route.calendar","action","Tháng","CalendarPage","onClick","local-state","classified-local","high","","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.calendar.action.button","app/(app)/calendar/page.jsx","116","route.calendar","action","←","CalendarPage","onClick","local-state","classified-local","high","goMonth | goWeek","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","import:localISO","nm | ny",""
"route.calendar.action.button.2","app/(app)/calendar/page.jsx","118","route.calendar","action","→","CalendarPage","onClick","local-state","classified-local","high","goMonth | goWeek","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","import:localISO","nm | ny",""
"route.calendar.action.hom-nay","app/(app)/calendar/page.jsx","119","route.calendar","action","Hôm nay","CalendarPage","onClick","local-state","classified-local","high","goToday","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","import:localISO","",""
"route.calendar.action.link-ics","app/(app)/calendar/page.jsx","120","route.calendar","action","📅 Link ICS","CalendarPage","onClick","data-action","handler-resolved","high","copyIcs","","","","GET /api/ics","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","authenticated-custom","","false","false","not-required","not-required","handled-candidate","not-required","navigator.clipboard.writeText","","",""
"route.calendar.action.setdaymodal-label-dow-i-fmtdm-d-evs","app/(app)/calendar/page.jsx","141","route.calendar","action","","CalendarPage","onClick","local-state","classified-local","high","fmtDM","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.calendar.action.d","app/(app)/calendar/page.jsx","163","route.calendar","action","{d}","CalendarPage","onClick","local-state","classified-local","high","","","","","","","activities | contracts | invoices | leaves | projects | tasks | users","","Activity | Contract | Invoice | Leave | Project | Task | User","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.ceo-commands.navigation.ceo-overview","app/(app)/ceo-commands/page.jsx","195","route.ceo-commands","navigation","/ceo-overview","CeoCommandsPage","","navigation","classified-local","high","","","","body.destination","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.ceo-commands.navigation.ceo-registry","app/(app)/ceo-commands/page.jsx","204","route.ceo-commands","navigation","/ceo-registry","CeoCommandsPage","","navigation","classified-local","high","","","","body.destination","","","","","","","","false","false","not-required","not-required","not-required","not-required","","","",""
"route.ceo-commands.action.load","app/(app)/ceo-commands/page.jsx","205","route.ceo-commands","action","","CeoCommandsPage","onClick","data-action","handler-resolved","high","load","","","body.destination","GET /api/ceo/v1/command-gateway?limit=75 | GET /api/ceo/v1/identity/session | GET /api/ceo/v1/registry","","","CeoCommandDelivery | CeoEntityMembership | CeoEntityRegistry | CeoGlobalIdentity | CeoPortalSession | CeoRecoveryCode","","explicit-rbac","","false","false","not-required","not-required","handled-candidate","not-required","","","",""
