"elementId","ownerComponent","callback","source","line","surface","apiCalls","resourceOperations","routeTargets","helperCalls","localState"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onClose","app/(app)/quotes/page.jsx","96","route:/quotes","","","","","setModal"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onSave","app/(app)/quotes/page.jsx","96","route:/quotes","POST /api/data/quotes","create:quotes","","",""
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onClose","app/(app)/quotes/page.jsx","98","route:/quotes","","","","","setModal"
"component.components-doceditor.action.luu-hoa-on-bao-gia","DocEditor","onSave","app/(app)/quotes/page.jsx","98","route:/quotes","PUT /api/data/quotes/[id]","update:quotes","","",""
"component.components-doclinks.action.ong","DocLinksModal","onClose","app/(app)/contracts/page.jsx","117","route:/contracts","","","","","setModal"
"component.components-doclinks.action.ong","DocLinksModal","onClose","app/(app)/projects/page.jsx","136","route:/projects","","","","","setModal"
"component.components-finance-financialintelligencepanel.action.thu-lai","State","onRetry","components/finance/FinancialIntelligencePanel.jsx","46","component:finance/FinancialIntelligencePanel","","","","",""
"component.components-finance-financialintelligencepanel.action.thu-lai","State","onRetry","components/hr/HrEvidenceIntelligence.jsx","61","component:hr/HrEvidenceIntelligence","","","","",""
"component.components-finance-financialintelligencepanel.action.tai-lai","FinancialIntelligencePanel","onRetry","app/(app)/finance/page.jsx","81","route:/finance","","","","","setIntelligenceRefresh"
"component.components-hr-hrevidenceintelligence.action.thu-lai","State","onRetry","components/finance/FinancialIntelligencePanel.jsx","46","component:finance/FinancialIntelligencePanel","","","","",""
"component.components-hr-hrevidenceintelligence.action.thu-lai","State","onRetry","components/hr/HrEvidenceIntelligence.jsx","61","component:hr/HrEvidenceIntelligence","","","","",""
"component.components-hr-hrevidenceintelligence.action.tai-lai","HrEvidenceIntelligencePanel","onRetry","components/hr/HrEvidenceIntelligence.jsx","175","component:hr/HrEvidenceIntelligence","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","113","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","114","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/GoldEconomyObservatory.jsx","245","component:realm/GoldEconomyObservatory","","","","","setRefreshKey"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/GuildHall.jsx","139","component:realm/GuildHall","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","212","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","213","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/RoyalEmbassy.jsx","160","component:realm/RoyalEmbassy","","","","","setRevision"
"component.components-realm-adventurerchronicle.action.thu-lai","StateCard","onRetry","components/realm/RoyalTreasuryExchange.jsx","258","component:realm/RoyalTreasuryExchange","","","","","setRefreshKey"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","113","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","114","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/GoldEconomyObservatory.jsx","245","component:realm/GoldEconomyObservatory","","","","","setRefreshKey"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/GuildHall.jsx","139","component:realm/GuildHall","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","212","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","213","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/RoyalEmbassy.jsx","160","component:realm/RoyalEmbassy","","","","","setRevision"
"component.components-realm-goldeconomyobservatory.action.thu-lai","StateCard","onRetry","components/realm/RoyalTreasuryExchange.jsx","258","component:realm/RoyalTreasuryExchange","","","","","setRefreshKey"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","113","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/AdventurerChronicle.jsx","114","component:realm/AdventurerChronicle","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/GoldEconomyObservatory.jsx","245","component:realm/GoldEconomyObservatory","","","","","setRefreshKey"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/GuildHall.jsx","139","component:realm/GuildHall","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","212","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/RoyalCommandCenter.jsx","213","component:realm/RoyalCommandCenter","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/RoyalEmbassy.jsx","160","component:realm/RoyalEmbassy","","","","","setRevision"
"component.components-realm-guildhall.action.thu-lai","StateCard","onRetry","components/realm/RoyalTreasuryExchange.jsx","258","component:realm/RoyalTreasuryExchange","","","","","setRefreshKey"
"component.components-realm-guildhall.action.content","MemberRow","onSelect","components/realm/GuildHall.jsx","173","component:realm/GuildHall","","","","",""
"component.components-realm-guildhall.action.mo-war-room","CampaignCard","onOpen","components/realm/GuildHall.jsx","180","component:realm/GuildHall","","","","",""
"component.components-realm-guildhall.action.crm-relationship-bridge-mo-royal-embassy-xem-tan-thu-pipeline-co","GuildHall","onOpenEmbassy","components/realm/RealmOffice.jsx","2433","component:realm/RealmOffice","","","","import:realmAccessForPanel","setActivePanel | setMode | setSelectedCampaign"
"component.components-realm-guildhall.action.crm-relationship-bridge-mo-royal-embassy-xem-tan-thu-pipeline-co","GuildHall","onOpenEmbassy","components/realm/RealmOffice.jsx","2934","component:realm/RealmOffice","","","","import:realmAccessForSurface","setEmbassyOpen"
"component.components-realm-realmcreateactiondialog.action.huy","TaskCommentDialog","onClose","components/realm/RealmCreateActionDialog.jsx","109","component:realm/RealmCreateActionDialog","","","","",""
"component.components-realm-realmcreateactiondialog.action.gui-war-council-note","TaskCommentDialog","onComplete","components/realm/RealmCreateActionDialog.jsx","109","component:realm/RealmCreateActionDialog","","","","",""
