"route","source","dynamic","auth","inNavigation","navLabel","navSection","roles","module","resourceCandidates","apiCandidates","routeCandidates","mappingStatus"
"/ceo-world","app/(app)/ceo-world/page.jsx","false","authenticated","true","CEO · Bản đồ 4 vương quốc","Công ty","DIRECTOR","","","GET `/api/ceo/v1/federation/world?entity=${encodeURIComponent(entityId)}` | POST '/api/ceo/v1/sso/authorize'","body.destination","unreviewed"
"/clients","app/(app)/clients/page.jsx","false","authenticated","true","Khách hàng","CRM — Bán hàng","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","clients","","","unreviewed"
"/clients/[id]","app/(app)/clients/[id]/page.jsx","true","authenticated","true","Khách hàng","CRM — Bán hàng","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","activities | clients | contacts | csat | invoices | nps | projects | quotes | tickets","","","unreviewed"
"/commissions","app/(app)/commissions/page.jsx","false","authenticated","true","Hoa hồng Sales","Tài chính","DIRECTOR | ACCOUNTANT | AM | PM","commissions","commissions | invoices | users","GET '/api/settings'","","unreviewed"
"/contracts","app/(app)/contracts/page.jsx","false","authenticated","true","Hợp đồng","Tài chính","DIRECTOR | ACCOUNTANT | AM | PM","procurement","contracts","GET '/api/settings'","","unreviewed"
"/copilot","app/(app)/copilot/page.jsx","false","authenticated","true","AI Copilot","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","POST '/api/copilot'","","unreviewed"
"/dashboard","app/(app)/dashboard/page.jsx","false","authenticated","true","Bảng điều khiển","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","areacodes | clients | invoices | leads | livesessions | projects | shipments | tasks | tickets | timelogs | transactions | users | vendorbills | violations","GET '/api/insights'","","unreviewed"
"/finance","app/(app)/finance/page.jsx","false","authenticated","true","Thu / Chi","Tài chính","DIRECTOR | ACCOUNTANT","","projects | transactions","GET '/api/finance/intelligence'","","unreviewed"
"/financials","app/(app)/financials/page.jsx","false","authenticated","true","Báo cáo tài chính","Công ty","DIRECTOR | ACCOUNTANT","export","invoices | payouts | shipments | stocklots | transactions | vendorbills","","","unreviewed"
"/finplan","app/(app)/finplan/page.jsx","false","authenticated","true","Công nợ & Dự báo","Tài chính","DIRECTOR | ACCOUNTANT","","budgets | clients | invoices | payouts | recurringexpenses | shipments | transactions | users | vendorbills | vendors","POST '/api/recurring/generate'","","unreviewed"
"/freelancer","app/(app)/freelancer/page.jsx","false","authenticated","false","","","FREELANCER","","","GET '/api/freelancer/home' | PUT '/api/freelancer/task/' + t.id | PUT '/api/freelancer/task/' + t.id | POST '/api/freelancer/timelog'","","unreviewed"
"/freelancers","app/(app)/freelancers/page.jsx","false","authenticated","true","Freelancer","Nhân sự","DIRECTOR | HR | PM | LEAD","freelancers","payouts | projectmembers | projects | timelogs | users","POST `/api/payouts/${p.id}/pay` | method '/api/users'","","unreviewed"
"/fxreval","app/(app)/fxreval/page.jsx","false","authenticated","true","Đánh giá lại tỷ giá","Tài chính","DIRECTOR | ACCOUNTANT","export","invoices | shipments | transactions","","","unreviewed"
"/gantt","app/(app)/gantt/page.jsx","false","authenticated","true","Gantt tiến độ","Vận hành","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","delivery","clients | milestones | projects | tasks","","","unreviewed"
"/growing","app/(app)/growing/page.jsx","false","authenticated","true","Vùng trồng / Đóng gói","Xuất nhập khẩu","DIRECTOR | PM | ACCOUNTANT | AM","export","areacodes | growingareas","","","unreviewed"
"/guide","app/(app)/guide/page.jsx","false","authenticated","true","Cẩm nang sử dụng","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","GET '/api/settings'","","unreviewed"
"/import","app/(app)/import/page.jsx","false","authenticated","true","Nhập / Xuất Excel","Công ty","DIRECTOR | ACCOUNTANT | AM | PM | HR | LEAD","","","POST '/api/import/bulk'","","unreviewed"
"/install","app/(app)/install/page.jsx","false","authenticated","true","Cài lên điện thoại","Tổng quan","DIRECTOR | PM | AM | ACCOUNTANT | HR | LEAD | STAFF","","","","","unreviewed"
"/inventory","app/(app)/inventory/page.jsx","false","authenticated","true","Kho hàng / Lô","Xuất nhập khẩu","DIRECTOR | PM | ACCOUNTANT | AM","inventory","growingareas | shipments | stocklots | stockmoves | vendors","POST `/api/stocklots/${lot.id}/issue`","","unreviewed"
