elementId,source,line,label,actionType,loadingState,successState,errorState,confirmationState,status
route.settings.action.delkey-k,app/(app)/settings/page.jsx,73,,data-action,async-button-guard,toast-or-state,handled-candidate,confirmed,verified
route.settings.action.tao-key,app/(app)/settings/page.jsx,81,Tạo key,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.settings.action.tat-bat,app/(app)/settings/page.jsx,92,Tắt / Bật,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.settings.action.them,app/(app)/settings/page.jsx,101,Thêm,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.settings.action.luu-gui-email-thu-toi-chinh-hop-thu-nay,app/(app)/settings/page.jsx,249,Lưu & gửi email thử tới chính hộp thư này,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.settings.action.luu-cai-at,app/(app)/settings/page.jsx,263,Lưu cài đặt,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
route.staff.action.luu,app/(app)/staff/page.jsx,22,Lưu,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.tasks.action.ang-luu-luu,app/(app)/tasks/page.jsx,71,Đang lưu… / Lưu,data-action,disabled-binding,hook-refresh,hook-error-toast,not-required,verified
route.tasks.action.ghi-gio,app/(app)/tasks/page.jsx,141,Ghi giờ,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.tasks.action.gui,app/(app)/tasks/page.jsx,169,Gửi,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.teamwork.action.len,app/(app)/teamwork/page.jsx,46,Lên,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.xuong,app/(app)/teamwork/page.jsx,47,Xuống,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.go-chan,app/(app)/teamwork/page.jsx,49,Gỡ chặn,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.giao-viec,app/(app)/teamwork/page.jsx,112,Giao việc,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.anh-dau-bi-chan,app/(app)/teamwork/page.jsx,123,Đánh dấu bị chặn,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.escalate,app/(app)/teamwork/page.jsx,127,Escalate,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.tach-task,app/(app)/teamwork/page.jsx,134,Tách Task,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.hop-nhat-task,app/(app)/teamwork/page.jsx,144,Hợp nhất Task,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.teamwork.action.luu-hieu-chinh-co-receipt,app/(app)/teamwork/page.jsx,159,Lưu hiệu chỉnh có receipt,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
route.templates.action.luu-mau,app/(app)/templates/page.jsx,24,Lưu mẫu,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.tickets.action.luu-anh-gia,app/(app)/tickets/page.jsx,13,Lưu đánh giá,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.tickets.action.anh-dau-a-xu-ly,app/(app)/tickets/page.jsx,134,Đánh dấu đã xử lý,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
route.vendors.action.luu,app/(app)/vendors/page.jsx,19,Lưu,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
component.components-activities.action.them-hoat-ong,components/Activities.jsx,36,Thêm hoạt động,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
component.components-activities.action.update-a-id-done-a-done,components/Activities.jsx,46,,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
component.components-ceo-ceofederationpolicy.action.toggle,components/ceo/CeoFederationPolicy.jsx,69,,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-doceditor.action.luu-hoa-on-bao-gia,components/DocEditor.jsx,60,Lưu / hóa đơn / báo giá,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
component.components-doclinks.action.gan,components/DocLinks.jsx,36,Gắn,data-action,async-button-guard,hook-refresh,hook-error-toast,not-required,verified
component.components-realm-realmcreateactiondialog.action.gui-war-council-note,components/realm/RealmCreateActionDialog.jsx,49,Gửi War Council note,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmcreateactiondialog.action.lap-diplomatic-follow-up,components/realm/RealmCreateActionDialog.jsx,91,Lập Diplomatic follow-up,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmfeedbacklauncher.form-submit.cho-oi-pilot-biet-ieu-gi-ang-can-tro-cong-viec-khong-can-roi-rea,components/realm/RealmFeedbackLauncher.jsx,152,Cho đội pilot biết điều gì đang cản trở công việc. Không cần rời Realm và không tạo một hệ thống dữ liệu thứ hai. / Loại phản hồi / Mức ảnh hưởng / Mô tả ngắn / * / /120 ký tự / Đi,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmfeedbacklauncher.action.ang-gui-gui-vao-guild-support,components/realm/RealmFeedbackLauncher.jsx,198,Đang gửi… / Gửi vào Guild Support,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmfeedbackoperations.action.luu-thong-bao,components/realm/RealmFeedbackOperations.jsx,138,Lưu & thông báo,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmnotificationbell.action.ang-xu-ly-oc-tat-ca,components/realm/RealmNotificationBell.jsx,130,Đang xử lý… / Đọc tất cả,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.form-submit.go-cua-erp-nguoi-nhan-ang-offline-loi-nhan-van-uoc-luu-trong-not,components/realm/RealmOffice.jsx,2296,Gõ cửa ERP / Người nhận đang offline; lời nhắn vẫn được lưu trong Notification và Lantern Mail.,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.action.button.2,components/realm/RealmOffice.jsx,2309,,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.form-submit.ten-hien-thi-class-trong-realm-mau-huy-hieu-ang-ong-bo-luu-ho-so,components/realm/RealmOffice.jsx,2340,Tên hiển thị / Class trong Realm / Màu huy hiệu / Đang đồng bộ… / Lưu hồ sơ,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.action.ang-ong-bo-luu-ho-so,components/realm/RealmOffice.jsx,2360,Đang đồng bộ… / Lưu hồ sơ,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.action.nhan-gold,components/realm/RealmOffice.jsx,2396,Nhận / Gold,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmoffice.action.ang-ghi-ghi-nhan-gold,components/realm/RealmOffice.jsx,3009,Đang ghi… / Ghi nhận Gold,data-action,disabled-binding,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotcontrol.action.a-khoa-do-timeout-duyet-ap-dung,components/realm/RealmPilotControl.jsx,74,Đã khóa do timeout / Duyệt & áp dụng,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotcontrol.action.tu-choi,components/realm/RealmPilotControl.jsx,75,Từ chối,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotcontrol.action.chay-dry-run-phat-hanh,components/realm/RealmPilotControl.jsx,542,Chạy dry-run phát hành,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotcontrol.action.gui-director-khac-duyet,components/realm/RealmPilotControl.jsx,545,Gửi Director khác duyệt,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
component.components-realm-realmpilotcontrol.action.kich-hoat-kill-switch-luu-chinh-sach-pilot,components/realm/RealmPilotControl.jsx,552,Kích hoạt kill switch / Lưu chính sách pilot,data-action,async-button-guard,toast-or-state,handled-candidate,not-required,verified
